#{"t_start": 1674727166.545253, "env_id": null}
r,l,t
-19.0,976,395.175751
-21.0,795,396.25039
-21.0,794,397.581321
-21.0,823,397.931488
-20.0,921,401.001027
-21.0,825,401.130816
-21.0,1025,404.428017
-21.0,825,406.012552
-20.0,1021,406.243171
-21.0,973,408.510478
-19.0,983,409.942775
-21.0,887,412.372791
-20.0,1066,414.588856
-18.0,1380,415.636054
-20.0,963,416.476943
-21.0,827,416.568331
-21.0,947,417.895296
-20.0,879,419.72952
-20.0,922,423.998672
-19.0,1149,424.523081
-19.0,994,427.335624
-19.0,937,427.446874
-21.0,965,428.979527
-20.0,922,429.595623
-19.0,1102,430.803602
-21.0,1005,432.619375
-21.0,913,436.134259
-21.0,946,439.273279
-21.0,945,439.393419
-19.0,1223,439.428484
-20.0,843,439.539168
-19.0,945,442.703518
-21.0,827,443.402412
-19.0,1073,443.549355
-20.0,945,448.412988
-21.0,825,450.204277
-21.0,915,450.833262
-21.0,941,451.576273
-21.0,1071,453.232145
-21.0,826,453.792654
-21.0,843,453.81896
-18.0,1263,458.719354
-21.0,825,460.455251
-18.0,1044,461.57658
-20.0,843,461.687311
-21.0,913,463.100411
-21.0,855,464.795958
-20.0,947,465.094925
-21.0,1090,467.834456
-20.0,951,471.06755
-20.0,1070,474.355529
-21.0,992,474.41904
-19.0,955,475.074265
-21.0,825,475.137656
-20.0,1099,475.342022
-21.0,825,475.442204
-21.0,1005,480.240844
-21.0,783,480.954401
-21.0,783,484.167701
-21.0,854,484.787934
-21.0,793,484.982581
-20.0,838,486.117015
-20.0,966,487.407206
-19.0,968,487.687926
-20.0,945,492.413384
-19.0,1071,494.238292
-20.0,903,495.559201
-21.0,783,495.956514
-21.0,994,497.392442
-21.0,825,497.844123
-19.0,1055,498.504205
-20.0,987,499.458677
-20.0,954,506.382254
-20.0,1120,506.474345
-21.0,885,506.649506
-21.0,887,507.062285
-20.0,898,508.68914
-21.0,853,508.715505
-21.0,811,510.003352
-20.0,1020,511.460375
-21.0,812,516.618407
-20.0,898,518.10674
-20.0,871,518.264422
-21.0,783,518.641176
-20.0,983,518.777043
-20.0,885,520.050586
-20.0,843,520.519464
-21.0,888,522.804234
-21.0,793,526.641481
-21.0,793,528.140202
-21.0,843,528.776659
-21.0,827,529.524003
-21.0,853,529.652626
