#{"t_start": 1674743108.5023897, "env_id": null}
r,l,t
-21.0,881,302.146344
-21.0,923,303.115927
-21.0,960,303.865196
-21.0,843,305.176407
-21.0,765,307.036509
-19.0,1038,307.124558
-19.0,1027,311.43616
-21.0,885,312.084491
-20.0,1009,312.136535
-20.0,989,313.851723
-20.0,871,314.477914
-20.0,902,315.432907
-21.0,821,315.939371
-20.0,932,316.815451
-21.0,888,319.069133
-21.0,939,319.355651
-21.0,827,319.924923
-20.0,958,320.769911
-19.0,933,321.257257
-21.0,812,322.81504
-21.0,812,322.901706
-21.0,1000,324.609723
-20.0,902,329.639106
-20.0,1021,331.969207
-20.0,903,332.038648
-19.0,1075,332.338338
-20.0,843,332.338571
-20.0,970,334.353846
-20.0,919,334.747138
-21.0,793,334.832869
-21.0,793,335.388384
-17.0,1118,335.665935
-21.0,783,336.022867
-21.0,887,340.078732
-21.0,826,340.676542
-20.0,1113,340.762531
-21.0,937,341.135167
-19.0,1119,342.99882
-20.0,838,345.945279
-21.0,795,347.537352
-21.0,825,348.41162
-21.0,825,348.411891
-21.0,783,349.547466
-20.0,929,350.077224
-21.0,783,350.579705
-21.0,853,351.373696
-21.0,793,351.396968
-20.0,866,351.562571
-21.0,825,351.681668
-21.0,795,355.587328
-21.0,899,358.289059
-21.0,915,359.066533
-20.0,842,359.590523
-20.0,976,359.885383
-20.0,843,365.314388
-20.0,933,366.197578
-21.0,853,367.182924
-20.0,1075,367.382049
-21.0,793,367.521679
-21.0,975,367.92272
-21.0,855,368.55879
-21.0,843,368.629673
-21.0,913,368.908426
-21.0,969,368.965928
-20.0,979,370.995562
-20.0,930,374.158883
-20.0,838,376.299714
-21.0,913,376.643512
-20.0,871,377.287951
-19.0,1065,380.296967
-21.0,853,382.903323
-21.0,825,383.340362
-20.0,959,384.080783
-21.0,783,384.202296
-20.0,861,384.368031
-19.0,937,385.725684
-20.0,898,386.173134
-21.0,885,386.260519
-19.0,940,386.312458
-20.0,956,387.257856
-19.0,972,389.98859
-21.0,825,390.305288
-20.0,843,393.596621
-21.0,885,393.810303
-20.0,966,395.081374
-21.0,793,399.497254
-21.0,793,399.61658
-20.0,842,399.718632
-21.0,885,400.110379
-21.0,1025,400.197532
-20.0,838,400.655102
-21.0,793,401.14142
-21.0,826,402.300749
-21.0,825,402.337798
-21.0,793,402.663813
-20.0,929,404.22625
-20.0,838,406.439552
-21.0,855,407.104648
-21.0,793,409.198693
-21.0,825,410.019846
-20.0,843,411.620444
-21.0,823,415.600779
-20.0,838,416.103826
-21.0,826,416.816672
-21.0,825,417.281778
-20.0,903,417.846013
-21.0,916,418.025894
-21.0,947,418.14406
-20.0,843,418.817714
-21.0,861,419.488664
-21.0,976,421.369138
-21.0,802,422.573988
-21.0,855,422.961915
-20.0,983,423.411065
-21.0,827,426.000039
-21.0,887,426.326361
-21.0,913,429.22279
-21.0,783,430.695902
-20.0,842,432.991785
-21.0,907,433.550275
-21.0,855,433.699922
-20.0,838,433.939366
-20.0,842,434.313049
-20.0,838,434.904735
-20.0,932,435.911258
-21.0,783,436.381206
-20.0,890,436.578414
-21.0,783,437.600244
-21.0,853,439.312662
-20.0,842,439.543205
-21.0,825,442.143912
-20.0,842,442.144296
-21.0,825,445.030005
-21.0,783,448.015455
-21.0,973,449.319308
-20.0,842,449.68718
-21.0,826,449.771124
-21.0,853,450.062439
-21.0,885,451.265677
-21.0,872,451.609049
-20.0,844,452.08545
-21.0,853,452.910949
-20.0,870,453.046917
-21.0,885,454.536799
-21.0,825,455.110308
-20.0,843,455.689728
-21.0,795,457.330713
-21.0,946,460.255507
-21.0,783,463.005558
-20.0,960,463.404715
-21.0,793,464.878155
-21.0,825,465.852395
-20.0,926,467.498075
-20.0,842,467.738209
-21.0,827,467.934757
-19.0,1000,468.481761
-21.0,826,468.740109
-21.0,827,468.907975
-21.0,825,470.351801
-21.0,827,470.957638
-20.0,1164,473.618042
-21.0,889,474.431552
-21.0,1033,475.52949
-20.0,860,476.75732
-21.0,825,479.27135
-21.0,947,481.193429
-21.0,855,482.27496
-21.0,783,482.768943
-20.0,981,483.705911
